"FECHA VENTA","ANIO VENTA","MES VENTA","DIA VENTA","CODIGO MUNICIPIO_DANE","DEPARTAMENTO INSTALACION","MUNICIPIO INSTALACION","LATITUD","LONGITUD","TIPO AGENTE","TIPO DE COMBUSTIBLE","EDS ACTIVAS","NUMERO DE VENTAS","VEHICULOS ATENDIDOS","CANTIDAD VOLUMEN SUMINISTRADO"
"2023 Sep 08 12:00:00 AM","2,023","9","8","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","229","176","2,727.89"
"2023 Sep 13 12:00:00 AM","2,023","9","13","15,157","BOYACA","SOGAMOSO","56,466,722,488","-728,709,564,209","ESTACION DE SERVICIO DE GNCV","GNV","1","202","155","1,749.66"
"2023 Sep 12 12:00:00 AM","2,023","9","12","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","188","154","2,296.39"
"2023 Sep 13 12:00:00 AM","2,023","9","13","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","193","149","2,508.82"
"2023 Sep 11 12:00:00 AM","2,023","9","11","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","206","158","2,596.64"
"2023 Sep 12 12:00:00 AM","2,023","9","12","15,151","BOYACA","CHIQUINQUIRA","56,224,880,219","-738,042,449,951","ESTACION DE SERVICIO DE GNCV","GNV","2","444","317","3.779"
"2023 Sep 06 12:00:00 AM","2,023","9","6","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","191","148","3,304.02"
"2023 Sep 07 12:00:00 AM","2,023","9","7","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","150","119","2,138.34"
"2023 Sep 05 12:00:00 AM","2,023","9","5","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","180","140","1,995.93"
"2023 Sep 10 12:00:00 AM","2,023","9","10","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","155","111","1,941.73"
"2023 Sep 13 12:00:00 AM","2,023","9","13","15,150","BOYACA","TUNJA","55,184,726,715","-733,780,212,402","ESTACION DE SERVICIO DE GNCV","GNV","2","416","311","4,592.79"
"2023 Sep 09 12:00:00 AM","2,023","9","9","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","207","157","2,751.45"
"2023 Sep 17 12:00:00 AM","2,023","9","17","15,150","BOYACA","TUNJA","55,184,726,715","-733,780,212,402","ESTACION DE SERVICIO DE GNCV","GNV","2","346","254","3,518.98"
"2023 Sep 17 12:00:00 AM","2,023","9","17","15,157","BOYACA","SOGAMOSO","56,466,722,488","-728,709,564,209","ESTACION DE SERVICIO DE GNCV","GNV","1","184","123","1,621.76"
"2023 Sep 15 12:00:00 AM","2,023","9","15","15,151","BOYACA","CHIQUINQUIRA","56,224,880,219","-738,042,449,951","ESTACION DE SERVICIO DE GNCV","GNV","2","463","322","4,001.05"
"2023 Sep 16 12:00:00 AM","2,023","9","16","15,150","BOYACA","TUNJA","55,184,726,715","-733,780,212,402","ESTACION DE SERVICIO DE GNCV","GNV","2","447","316","4,775.91"
"2023 Sep 15 12:00:00 AM","2,023","9","15","15,150","BOYACA","TUNJA","55,184,726,715","-733,780,212,402","ESTACION DE SERVICIO DE GNCV","GNV","2","471","335","5,308.83"
"2023 Sep 15 12:00:00 AM","2,023","9","15","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","215","167","2,292.34"
"2023 Sep 14 12:00:00 AM","2,023","9","14","15,157","BOYACA","SOGAMOSO","56,466,722,488","-728,709,564,209","ESTACION DE SERVICIO DE GNCV","GNV","1","204","140","1,781.99"
"2023 Sep 13 12:00:00 AM","2,023","9","13","15,151","BOYACA","CHIQUINQUIRA","56,224,880,219","-738,042,449,951","ESTACION DE SERVICIO DE GNCV","GNV","1","405","274","3,305.39"
"2023 Sep 16 12:00:00 AM","2,023","9","16","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","225","164","2,646.79"
"2023 Sep 14 12:00:00 AM","2,023","9","14","15,152","BOYACA","DUITAMA","58,906,025,887","-730,670,928,955","ESTACION DE SERVICIO DE GNCV","GNV","2","184","148","2,420.14"
"2023 Sep 14 12:00:00 AM","2,023","9","14","15,150","BOYACA","TUNJA","55,184,726,715","-733,780,212,402","ESTACION DE SERVICIO DE GNCV","GNV","2","424","304","4,254.08"
